Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Audny";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Aurora";102;111;117;140;164;190;188;208;269;212;237;222;237;197;222;195;204;241;237;225;197;188
"Ausra";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ava";.;4;.;4;5;7;5;7;15;17;19;31;29;33;29;33;29;41;50;48;54;32
"Aya";7;9;9;7;20;9;21;21;16;18;18;21;23;21;21;18;25;22;16;30;31;19
"Ayan";7;14;4;6;11;4;6;6;6;5;7;.;4;6;.;10;4;.;.;.;.;.
"Ayla";4;7;12;7;10;16;15;17;11;12;7;11;14;10;10;10;23;7;17;14;16;20
"Aylin";.;6;8;6;4;4;.;8;6;11;11;6;7;7;13;15;13;22;20;19;11;16
"Ayse";.;5;10;.;4;.;.;.;.;.;.;.;.;5;.;5;4;..;.;4;.;.
"Azra";.;.;.;.;5;.;.;4;4;.;6;.;.;7;.;5;.;.;5;6;4;4
"Barbara";5;.;.;.;.;.;.;.;.;.;.;.;.;.;5;.;.;4;.;.;.;.
"Barbro";.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Beata";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Beate";27;15;10;22;11;7;9;6;7;.;8;6;5;4;6;4;.;.;.;4;.;.
"Beathe";.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Beatrice";.;.;11;10;4;12;10;4;4;10;8;9;7;5;10;4;6;4;9;7;8;6
"Belinda";.;.;..;.;4;.;.;4;6;.;.;.;.;5;5;4;..;.;.;.;.;.
"Bella";.;.;.;6;.;5;.;.;.;6;5;9;13;21;12;20;15;15;20;17;21;21
"Benedicte";86;82;79;77;66;47;51;46;42;29;29;24;18;18;21;8;14;8;14;8;.;.
"Benedikte";76;63;43;49;35;24;26;30;20;7;13;22;12;7;7;4;9;7;5;8;.;.
"Bente";13;11;..;8;7;4;.;.;4;4;.;.;.;4;.;.;.;.;.;.;.;.
"Benthe";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bergljot";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Berit";15;10;12;7;6;7;9;9;7;8;5;6;5;4;6;7;5;4;.;.;.;.
"Bertha";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bertine";7;12;7;15;14;21;27;42;31;31;30;22;16;20;25;15;8;13;14;7;6;.
"Betina";9;7;16;7;10;9;4;8;10;.;14;7;..;.;4;.;.;.;.;.;.;.
"Bettina";14;19;18;17;19;10;12;8;10;19;19;11;4;.;7;.;.;.;.;.;.;.
"Betty";.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bianca";.;7;5;9;9;7;14;5;10;10;11;14;20;14;16;24;24;15;9;15;19;13
"Birgit";12;6;6;8;6;4;6;.;.;.;.;.;4;.;.;.;.;.;.;6;.;.
"Birgitta";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Birgitte";46;29;28;30;20;22;9;9;7;7;6;7;6;.;5;5;7;4;5;.;.;.
"Birte";8;9;4;6;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.
"Birthe";4;6;8;6;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bj�rg";9;10;11;4;4;8;6;.;6;5;.;.;.;.;.;.;5;.;8;.;6;4
"Bodil";.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Borghild";7;.;6;5;6;.;4;4;.;.;.;.;.;4;.;.;4;.;.;.;.;.
"Borgny";.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bozena";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Brit";.;6;4;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Brita";6;8;5;6;6;5;4;.;.;.;.;4;.;.;.;.;.;.;.;4;.;.
"Brith";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Britt";..;.;6;.;4;.;.;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.
"Brynhild";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
