Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Bo";5;9;10;5;.;13;10;18;19;22;13;20;22;17;19;18;22;23;15;26;26;27
"Bogdan";.;.;.;.;.;.;4;.;5;.;.;4;.;5;.;.;.;.;.;.;4;.
"Boguslaw";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Borgar";.;4;6;4;8;4;7;5;.;5;.;4;.;4;5;.;4;.;.;.;.;4
"Boris";4;4;.;.;4;.;.;.;4;.;4;.;.;.;.;.;.;.;.;.;.;.
"Brage";73;87;89;85;106;126;130;115;126;130;142;119;133;135;130;132;144;129;121;110;91;106
"Brede";25;25;32;24;25;32;21;27;15;22;21;18;17;23;19;13;14;9;9;17;23;12
"Brian";17;18;22;15;19;19;23;16;15;13;17;17;23;14;17;17;11;8;9;15;12;6
"Bror";12;11;12;12;10;12;13;15;15;14;14;15;15;12;7;8;6;7;8;11;5;7
"Bruno";.;.;4;.;.;.;.;4;5;7;5;.;5;.;7;8;11;9;6;6;5;7
"Brynjar";10;19;12;12;10;6;6;10;8;.;7;10;5;6;10;10;10;6;5;5;.;9
"Brynjulf";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"B�rge";12;13;14;12;9;11;7;6;4;8;7;.;4;.;7;.;5;.;.;.;.;.
"B�rre";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"B�rd";23;18;18;22;13;13;9;12;8;.;.;4;7;5;5;.;.;.;4;5;.;.
"Carl";49;50;56;45;38;49;44;30;47;41;32;28;44;30;36;39;35;35;34;28;21;23
"Carlos";.;7;11;.;..;6;.;10;.;10;9;8;.;.;8;4;8;4;6;5;5;.
"Carsten";4;7;.;.;.;5;.;.;7;.;5;.;.;.;10;.;.;.;4;.;.;4
"Casper";40;39;67;67;64;93;96;115;95;103;136;132;108;98;97;91;108;122;116;90;98;94
"Caspian";.;.;.;.;.;.;.;5;.;4;11;26;13;30;44;38;43;38;24;31;54;34
"Cato";16;11;9;7;8;9;5;7;4;.;7;6;4;5;4;5;.;4;.;.;.;.
"Charles";.;.;4;.;4;6;..;7;6;.;.;.;.;..;6;.;7;5;.;.;6;.
"Charlie";.;.;.;.;5;.;4;.;.;8;8;10;10;8;14;19;20;22;25;26;19;21
"Chris";35;30;31;31;26;22;18;19;19;21;23;22;18;15;14;20;20;11;14;..;11;7
"Christen";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Christer";25;33;33;27;20;28;18;19;11;19;11;11;12;6;8;4;9;7;7;.;.;.
"Christian";258;243;250;264;222;199;175;169;171;176;158;186;147;110;128;119;107;106;104;104;78;61
"Christoffer";160;164;166;143;150;99;109;88;81;87;87;83;69;66;56;41;45;37;31;21;8;12
"Christopher";56;53;66;59;46;49;59;49;60;36;53;35;20;35;25;32;31;23;16;13;13;9
"Claes";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Claus";.;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Colin";6;5;5;5;4;11;13;12;11;16;15;15;14;22;27;27;20;22;21;21;17;21
"Conrad";.;.;6;7;8;8;5;11;15;15;12;19;14;10;9;9;11;16;11;9;10;12
"Constantin";.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;5;.;.;5;.;.;.
"Cornelius";11;13;7;10;14;9;10;10;11;20;14;24;12;22;25;27;22;22;16;22;15;15
"Cristian";.;.;.;4;.;.;.;.;.;.;5;.;.;6;.;.;.;.;.;.;.;.
"Dag";23;17;22;10;13;11;7;13;10;13;7;8;13;6;6;7;6;4;4;.;4;.
"Dagfinn";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
